,nom,public_prive,commune,departement,ips,taux_mention_bien+
3422,FREDERIC MONTENARD,PUBLIC,BESSE-SUR-ISSOLE,VAR,103.1,48.6
3423,FREDERIC MISTRAL,PUBLIC,ARLES,BOUCHES-DU-RHONE,103.1,42.9
3424,HENRI LEFEUVRE,PUBLIC,ARNAGE,SARTHE,103.1,45.1
3425,ERIK SATIE,PUBLIC,MITRY-MORY,SEINE-ET-MARNE,103.1,52.4
3426,SAINT COLOMBAN,PRIVE,LUXEUIL-LES-BAINS,HAUTE-SAONE,103.1,51.9
3427,JACQUES PREVERT,PUBLIC,BOURG,GIRONDE,103.1,47.5
3428,PAUL ARENE,PUBLIC,SISTERON,ALPES-DE-HTE-PROVENCE,103.1,45.3
3429,JEAN ZAY,PUBLIC,CHAMBON-SUR-VOUEIZE,CREUSE,103.1,38.7
3430,CHARLES PEGUY,PUBLIC,PARIS 19E  ARRONDISSEMENT,PARIS,103.1,69.4
3431,PSALLETTE ST VINCENT,PRIVE,LE MANS,SARTHE,103.1,56.2
3432,SEVIGNE,PUBLIC,MAYENNE,MAYENNE,103.1,44.9
3433,DES CHASSAGNES,PRIVE,OULLINS,RHONE,103.1,39.6
3434,MARIE MAURON,PUBLIC,FAYENCE,VAR,103.1,44.3
3435,JULES PALMADE,PUBLIC,SEIX,ARIEGE,103.1,46.7
3436,SERGE BARRANX,PUBLIC,MONTFORT-EN-CHALOSSE,LANDES,103.1,53.9
3437,BOIS DE LOCQUERAN,PUBLIC,PLOUHINEC,FINISTERE,103.1,47.3
3438,CLOTAIRE BAUJOIN,PUBLIC,THOUROTTE,OISE,103.1,57.0
3439,BELLE-VUE,PUBLIC,LOUE,SARTHE,103.1,47.7
3440,PHILIPPE AUGUSTE,PUBLIC,GONESSE,VAL-D'OISE,103.1,34.9
3441,ANNE HEURGON-DESJARDINS,PUBLIC,CERISY-LA-SALLE,MANCHE,103.2,54.9
3442,RENE CASSIN,PUBLIC,BEAUCE LA ROMAINE,LOIR-ET-CHER,103.2,48.4
3443,SACRE COEUR,PRIVE,THONON-LES-BAINS,HAUTE SAVOIE,103.2,42.6
3444,RENE CASSIN,PUBLIC,CERNAY,HAUT-RHIN,103.2,50.8
3445,MARCEL BOUVIER,PUBLIC,LES ABRETS EN DAUPHINE,ISERE,103.2,55.6
3446,FOCH,PRIVE,L'AIGLE,ORNE,103.2,55.1
3447,CAMILLE CLAUDEL,PUBLIC,MONTIGNY-LES-CORMEILLES,VAL-D'OISE,103.2,32.5
3448,JEAN ROSTAND,PUBLIC,MOUTIERS,SAVOIE,103.2,53.7
3449,MADELEINE CROS,PUBLIC,DOURGNE,TARN,103.2,51.7
3450,MARCEL PAGNOL,PUBLIC,WASSELONNE,BAS-RHIN,103.2,50.2
3451,LE CEDRE,PUBLIC,MURVIEL-LES-BEZIERS,HERAULT,103.2,56.4
3452,EDMEE JARLAUD,PUBLIC,ACHEUX-EN-AMIENOIS,SOMME,103.2,44.4
3453,STE URSULE,PRIVE,LUCON,VENDEE,103.2,46.5
3454,LE BOIS DE L'ENCLUME,PUBLIC,TRILPORT,SEINE-ET-MARNE,103.2,49.7
3455,LUCIE AUBRAC,PUBLIC,LIVRY-GARGAN,SEINE-SAINT-DENIS,103.2,46.5
3456,VICTOR SCHOELCHER,PUBLIC,CHAMPAGNEY,HAUTE-SAONE,103.2,53.3
3457,JEANNE DE CONSTANTINOPLE,PUBLIC,NIEPPE,NORD,103.3,53.8
3458,F.ET I.JOLIOT-CURIE,PUBLIC,SAINT-HILAIRE-DES-LOGES,VENDEE,103.3,43.4
3459,RENE CASSIN,PUBLIC,SAINT-ANDRE-LES-ALPES,ALPES-DE-HTE-PROVENCE,103.3,48.7
3460,LES MAILHEULS,PUBLIC,COURSAN,AUDE,103.3,56.4
3461,LE COLOMBIER,PUBLIC,DUN-SUR-AURON,CHER,103.3,44.2
3462,EDOUARD HERRIOT,PUBLIC,LA ROCHE-SUR-YON,VENDEE,103.3,53.6
3463,ADRIEN CADET,PUBLIC,LES AVIRONS,LA REUNION,103.3,54.7
3464,ERNEST RENAN,PUBLIC,TREGUIER,COTES D'ARMOR,103.3,47.0
3465,NOTRE-DAME,PRIVE,PONT-SAINT-ESPRIT,GARD,103.3,53.3
3466,JEAN ZAY,PUBLIC,LE HOULME,SEINE MARITIME,103.3,51.9
3467,GUY MOLLET,PUBLIC,LILLE,NORD,103.3,71.3
3468,AUGUSTIN THIERRY,PUBLIC,BLOIS,LOIR-ET-CHER,103.4,37.0
3469,PUYGRELIER,PUBLIC,SAINT-MICHEL,CHARENTE,103.4,51.2
3470,ANNE DE BEAUJEU,PUBLIC,MOULINS,ALLIER,103.4,53.5
3471,LEON GAMBETTA,PUBLIC,PARIS 20E  ARRONDISSEMENT,PARIS,103.4,59.1
3472,JEAN PAUL DE DADELSEN,PUBLIC,HIRSINGUE,HAUT-RHIN,103.4,60.4
3473,ST JOSEPH,PRIVE,CHANTONNAY,VENDEE,103.4,50.3
3474,JACQUES PREVOST,PUBLIC,PESMES,HAUTE-SAONE,103.4,45.9
3475,LA BOETIE,PUBLIC,SARLAT-LA-CANEDA,DORDOGNE,103.4,51.0
3476,LES CHENES ROUGES,PUBLIC,SAINT-GERMAIN-DU-PLAIN,SAONE-ET-LOIRE,103.4,48.8
3477,HENRI MATISSE,PUBLIC,LINSELLES,NORD,103.4,54.7
3478,ALBERT SIDOISNE,PUBLIC,BONNEVAL,EURE-ET-LOIR,103.4,38.3
3479,JEAN MONNET,PUBLIC,COURCON,CHARENTE-MARITIME,103.4,51.7
3480,COLBERT,PUBLIC,CHOLET,MAINE-ET-LOIRE,103.4,42.2
3481,ST COEUR DE MARIE,PRIVE,SILLE-LE-GUILLAUME,SARTHE,103.5,44.0
3482,JEAN LURCAT,PUBLIC,ACHERES,YVELINES,103.5,47.1
3483,PIERRE MENDES FRANCE,PUBLIC,VIC-EN-BIGORRE,HAUTES-PYRENEES,103.5,53.0
3484,JEAN BOUIN,PUBLIC,L'ISLE-SUR-LA-SORGUE,VAUCLUSE,103.5,56.0
3485,FLEUROT D'HERIVAL,PUBLIC,LE VAL-D'AJOL,VOSGES,103.5,57.3
3486,SAINT JOSEPH LE ROSAIRE,PRIVE,LE PUY-EN-VELAY,HAUTE-LOIRE,103.5,53.2
3487,STE MARIE,PRIVE,SAINT-JEAN-DE-LUZ,PYRENEES-ATLANTIQUES,103.5,62.5
3488,DES VERNAUX MARIUS DAUBIGNEY,PUBLIC,TAVAUX,JURA,103.5,56.8
3489,JULES VALLES,PUBLIC,LE PUY-EN-VELAY,HAUTE-LOIRE,103.5,59.5
3490,GENEVIEVE DE GAULLE-ANTHONIOZ,PUBLIC,LE NEUBOURG,EURE,103.5,55.2
3491,JACQUES PREVERT,PUBLIC,WINTZENHEIM,HAUT-RHIN,103.5,64.1
3492,INSTITUTION SEVIGNE,PRIVE,NARBONNE,AUDE,103.5,60.6
3493,LEONARD DE VINCI,PUBLIC,SAINT-ROMAIN-LE-PUY,LOIRE,103.6,55.2
3494,ALBERT SCHWEITZER,PUBLIC,RIORGES,LOIRE,103.6,57.9
3495,JACQUES PREVERT,PUBLIC,SAINT-GENIS-POUILLY,AIN,103.6,60.1
3496,EMILE ZOLA,PUBLIC,CHATEAUDUN,EURE-ET-LOIR,103.6,56.3
3497,LA SALLE MONTALEMBERT,PRIVE,AVIGNON,VAUCLUSE,103.6,49.2
3498,DU SALAGOU,PUBLIC,CLERMONT-L'HERAULT,HERAULT,103.6,50.1
3499,LES ALLIERES,PUBLIC,SAINT-PIERRE-LE-MOUTIER,NIEVRE,103.6,47.6
3500,SAINT CHARLES,PRIVE,CHAUNY,AISNE,103.6,50.0
3501,JEAN MAUMUS,PUBLIC,VAL DE BRIEY,MEURTHE-ET-MOSELLE,103.6,50.2
3502,MAURIENNE,PUBLIC,SAINT-JEAN-DE-MAURIENNE,SAVOIE,103.6,46.0
3503,JEAN MOULIN,PUBLIC,SAINT-MEMMIE,MARNE,103.6,49.1
3504,CHRISTIANE PERCERET,PUBLIC,SEMUR-EN-AUXOIS,COTE D'OR,103.6,40.4
3505,URSUYA,PRIVE,HASPARREN,PYRENEES-ATLANTIQUES,103.7,70.9
3506,RAOUL DUFY,PUBLIC,LYON  3E  ARRONDISSEMENT,RHONE,103.7,64.7
3507,VALLEES DU PAILLON - R. CARLES,PUBLIC,CONTES,ALPES-MARITIMES,103.7,43.1
3508,SAINT GABRIEL,PRIVE,BAGNEUX,HAUTS-DE-SEINE,103.7,26.4
3509,NOTRE DAME,PRIVE,CHEMILLE-EN-ANJOU,MAINE-ET-LOIRE,103.7,62.1
3510,JACQUES PREVERT,PUBLIC,LES ARCS,VAR,103.7,44.1
3511,SAINTE-MADELEINE,PRIVE,BEZIERS,HERAULT,103.7,49.2
3512,BEAU REGARD,PUBLIC,MASSEUBE,GERS,103.7,41.7
3513,RENE GUY CADOU,PUBLIC,ANCENIS-SAINT-GEREON,LOIRE-ATLANTIQUE,103.7,48.6
3514,LA PLANTE GRIBE,PUBLIC,PAGNY-SUR-MOSELLE,MEURTHE-ET-MOSELLE,103.7,56.6
3515,LOUIS ARMAND,PUBLIC,GOLBEY,VOSGES,103.7,47.6
3516,GEORGES HOLDERITH,PUBLIC,LAUTERBOURG,BAS-RHIN,103.7,69.1
3517,FREDERIC HARTMANN,PUBLIC,MUNSTER,HAUT-RHIN,103.7,56.8
3518,JULES VERNE,PUBLIC,CAGNES-SUR-MER,ALPES-MARITIMES,103.7,38.7
3519,PAYS D ORTHE,PUBLIC,PEYREHORADE,LANDES,103.7,53.7
3520,D ASPE,PUBLIC,BEDOUS,PYRENEES-ATLANTIQUES,103.7,48.4
3521,VIA DOMITIA,PUBLIC,MANDUEL,GARD,103.7,45.4
3522,JEAN VILAR,PUBLIC,ANGRES,PAS-DE-CALAIS,103.7,53.4
3523,EN FLEURETTE,PUBLIC,SAINT-GENGOUX-LE-NATIONAL,SAONE-ET-LOIRE,103.7,45.5
3524,RAOUL BLANCHARD,PUBLIC,ANNECY,HAUTE SAVOIE,103.8,51.8
3525,MOLIERE,PUBLIC,BEAUFORT-EN-ANJOU,MAINE-ET-LOIRE,103.8,49.4
3526,GILBERT COUSIN,PUBLIC,NOZEROY,JURA,103.8,54.6
3527,VILLEBOIS MAREUIL,PRIVE,MONTAIGU-VENDEE,VENDEE,103.8,53.7
3528,GRANDVILLE,PUBLIC,LIVERDUN,MEURTHE-ET-MOSELLE,103.8,55.8
3529,SAINT LOUIS,PRIVE,CABOURG,CALVADOS,103.8,48.1
3530,NOTRE-DAME,PRIVE,BERCK,PAS-DE-CALAIS,103.8,59.6
3531,LES CAPUCINS,PUBLIC,CHATEAUROUX,INDRE,103.8,49.8
3532,JEAN MOULIN,PUBLIC,TOULOUSE,HAUTE-GARONNE,103.8,56.5
3533,ANTOINE DE SAINT EXUPERY,PUBLIC,STEENVOORDE,NORD,103.8,57.8
3534,DE L'EUROPE,PUBLIC,CHELLES,SEINE-ET-MARNE,103.8,47.3
3535,NOTRE DAME DE CAMPOSTAL,PRIVE,ROSTRENEN,COTES D'ARMOR,103.9,63.7
3536,ALFRED DE MUSSET,PUBLIC,ECOMMOY,SARTHE,103.9,41.7
3537,FRANCOIS-AUGUSTE PERRINON,PUBLIC,FORT-DE-FRANCE,MARTINIQUE,103.9,43.2
3538,STE THERESE,PRIVE,MUZILLAC,MORBIHAN,103.9,70.0
3539,SAINT BERTIN,PRIVE,SAINT-OMER,PAS-DE-CALAIS,103.9,62.9
3540,STE JEANNE D'ARC,PRIVE,ROHAN,MORBIHAN,103.9,75.7
3541,LOUISE MICHEL,PUBLIC,SAINT-JUNIEN,HAUTE-VIENNE,103.9,50.7
3542,IRANDATZ,PUBLIC,HENDAYE,PYRENEES-ATLANTIQUES,103.9,57.7
3543,SAINT-EXUPERY,PUBLIC,BRAM,AUDE,103.9,50.6
3544,LE CASTEL,PUBLIC,LONGEVILLE-LES-SAINT-AVOLD,MOSELLE,103.9,61.5
3545,DON BOSCO ERMITAGE,PRIVE,MAYENNE,MAYENNE,103.9,59.6
3546,PIERRE ET MARIE CURIE,PUBLIC,HERICOURT,HAUTE-SAONE,103.9,46.4
3547,EMILE GALLE,PUBLIC,LEXY,MEURTHE-ET-MOSELLE,103.9,50.7
3548,ST JOSEPH,PRIVE,SEGRE-EN-ANJOU BLEU,MAINE-ET-LOIRE,103.9,40.1
3549,MARIE CURIE,PUBLIC,ETAMPES,ESSONNE,103.9,41.5
3550,PERTUIS D ANTIOCHE,PUBLIC,SAINT-PIERRE-D'OLERON,CHARENTE-MARITIME,104.0,49.5
3551,BERGPFAD,PUBLIC,HAM-SOUS-VARSBERG,MOSELLE,104.0,61.0
3552,SIMONE VEIL,PUBLIC,LA BATIE-NEUVE,HAUTES-ALPES,104.0,42.1
3553,MONTPEZAT,PUBLIC,SENS,YONNE,104.0,46.2
3554,GASTON FEBUS,PUBLIC,ORTHEZ,PYRENEES-ATLANTIQUES,104.0,58.5
3555,SAINT EXUPERY,PUBLIC,SAINT-NICOLAS-DE-PORT,MEURTHE-ET-MOSELLE,104.0,52.4
3556,GABRIELLE COLETTE,PUBLIC,PUGET-SUR-ARGENS,VAR,104.0,44.2
3557,PAUL VALERY,PUBLIC,ROQUEMAURE,GARD,104.0,55.4
3558,NOTRE DAME,PRIVE,HAM,SOMME,104.0,67.7
3559,MAX ROUQUETTE,PUBLIC,SAINT-ANDRE-DE-SANGONIS,HERAULT,104.0,56.6
3560,JEAN BULLANT,PUBLIC,ECOUEN,VAL-D'OISE,104.0,35.7
3561,JOSEPH PEYRE,PUBLIC,GARLIN,PYRENEES-ATLANTIQUES,104.0,57.9
3562,JEAN-MARIE LE BRIS,PUBLIC,DOUARNENEZ,FINISTERE,104.0,61.4
3563,ST MAGLOIRE,PRIVE,DOL-DE-BRETAGNE,ILLE-ET-VILAINE,104.0,62.2
3564,PESQUIER,PUBLIC,GARDANNE,BOUCHES-DU-RHONE,104.0,49.7
3565,L'ARDILLIERE DE NEZANT,PUBLIC,SAINT-BRICE-SOUS-FORET,VAL-D'OISE,104.0,39.1
3566,ST DOMINIQUE SAVIO,PRIVE,TROYES,AUBE,104.1,45.4
3567,LES GAUDINETTES,PUBLIC,MARANGE-SILVANGE,MOSELLE,104.1,54.2
3568,JULES FERRY,PUBLIC,VILLENEUVE-LE-ROI,VAL-DE-MARNE,104.1,53.4
3569,STE ANNE,PRIVE,REZE,LOIRE-ATLANTIQUE,104.1,43.3
3570,SAINT EXUPERY,PUBLIC,THIERVILLE-SUR-MEUSE,MEUSE,104.1,57.7
3571,EMMANUEL MAFFRE-BAUGE,PUBLIC,PAULHAN,HERAULT,104.1,53.9
3572,LES 4 ARPENTS,PUBLIC,LAGNY-SUR-MARNE,SEINE-ET-MARNE,104.1,40.1
3573,DU SACRE-COEUR,PRIVE,ROUEN,SEINE MARITIME,104.2,55.4
3574,THIBAUD DE CHAMPAGNE,PUBLIC,FISMES,MARNE,104.2,60.8
3575,ANDRE MARIE,PUBLIC,BARENTIN,SEINE MARITIME,104.2,54.3
3576,J.PH. DELMAS DE GRAMMONT,PUBLIC,PORT-SAINTE-MARIE,LOT-ET-GARONNE,104.2,58.6
3577,ACHILLE ALLIER,PUBLIC,BOURBON-L'ARCHAMBAULT,ALLIER,104.2,45.4
3578,D'OSSAU,PUBLIC,ARUDY,PYRENEES-ATLANTIQUES,104.2,59.6
3579,NOTRE DAME DU CHATEAU,PRIVE,MONISTROL-SUR-LOIRE,HAUTE-LOIRE,104.2,65.2
3580,PAUL MOUGIN,PUBLIC,SAINT-MICHEL-DE-MAURIENNE,SAVOIE,104.2,52.6
3581,JULIETTE DODU,PUBLIC,SAINT-DENIS,LA REUNION,104.2,68.3
3582,VARSOVIE,PUBLIC,CARCASSONNE,AUDE,104.2,51.6
3583,SABARTHES-MONTCALM,PUBLIC,TARASCON-SUR-ARIEGE,ARIEGE,104.2,47.5
3584,ANNE FRANK,PUBLIC,LA VERPILLIERE,ISERE,104.2,48.8
3585,HENRY BERGER,PUBLIC,FONTAINE-FRANCAISE,COTE D'OR,104.2,56.4
3586,CHARLES MUNCH,PUBLIC,NIEDERBRONN-LES-BAINS,BAS-RHIN,104.2,64.7
3587,INSTITUTION SAINTE FOY,PRIVE,COULOMMIERS,SEINE-ET-MARNE,104.2,48.7
3588,PAULETTE BILLA,PUBLIC,TINQUEUX,MARNE,104.2,56.9
3589,RENE CASSIN,PUBLIC,COSNE-COURS-SUR-LOIRE,NIEVRE,104.2,43.4
3590,JULES VERNE,PUBLIC,VITTEL,VOSGES,104.2,63.5
3591,BOBY LAPOINTE,PUBLIC,ROUJAN,HERAULT,104.2,52.5
3592,LEOPOLD SEDAR SENGHOR,PUBLIC,IFS,CALVADOS,104.2,55.8
3593,JEAN-PIERRE CALLOCH,PRIVE,LOCMINE,MORBIHAN,104.2,65.7
3594,STE CLAIRE,PRIVE,FLOIRAC,GIRONDE,104.2,53.1
3595,PRE BENIT,PUBLIC,BOURGOIN-JALLIEU,ISERE,104.2,46.0
3596,MONTGOMERI,PUBLIC,SALINE,CALVADOS,104.2,43.5
3597,VICTOR PROUVE,PUBLIC,LAXOU,MEURTHE-ET-MOSELLE,104.2,52.9
3598,VASCO DE GAMA,PUBLIC,SAINT-PIERRE-LES-NEMOURS,SEINE-ET-MARNE,104.3,53.9
3599,THOMAS MANN,PUBLIC,PARIS 13E  ARRONDISSEMENT,PARIS,104.3,61.2
3600,ORT LEON BRAMSON,PRIVE,MARSEILLE 10E  ARRONDISSEMENT,BOUCHES-DU-RHONE,104.3,53.8
3601,LUCIE ET RAYMOND AUBRAC,PUBLIC,CHATELAUDREN-PLOUAGAT,COTES D'ARMOR,104.3,56.8
3602,LOUIS GRUNER,PUBLIC,ROCHE-LA-MOLIERE,LOIRE,104.3,66.5
3603,SAINT FIRMIN,PRIVE,UZES,GARD,104.3,48.6
3604,CAMILLE CLAUDEL,PUBLIC,MARIGNIER,HAUTE SAVOIE,104.3,48.9
3605,ST LOUIS,PRIVE,CHATEAULIN,FINISTERE,104.3,63.9
3606,ST FRANCOIS-NOTRE DAME,PRIVE,LESNEVEN,FINISTERE,104.3,68.6
3607,LA SEGALIERE,PUBLIC,LARGENTIERE,ARDECHE,104.3,48.9
3608,IMMACULEE CONCEPTION,PRIVE,ESPALION,AVEYRON,104.3,51.2
3609,JEANNE D'ARC,PRIVE,SAINT-DIDIER-EN-VELAY,HAUTE-LOIRE,104.3,51.4
3610,JEAN-LOUIS HAMON,PUBLIC,PLOUHA,COTES D'ARMOR,104.3,50.0
3611,LA HETRAIE,PUBLIC,LA FEUILLIE,SEINE MARITIME,104.3,54.5
3612,FRANCOIS BROUSSAIS,PUBLIC,DINAN,COTES D'ARMOR,104.3,49.9
3613,ST PIERRE,PRIVE,PORT-LOUIS,MORBIHAN,104.3,63.5
3614,EMILE DURKHEIM,PUBLIC,PEUJARD,GIRONDE,104.3,46.8
3615,GASTON CRAMPE,PUBLIC,AIRE-SUR-L'ADOUR,LANDES,104.4,50.8
3616,JEAN RACINE,PUBLIC,CHATEAU-THIERRY,AISNE,104.4,44.9
3617,SYLVAIN MENU,PUBLIC,MARSEILLE  9E  ARRONDISSEMENT,BOUCHES-DU-RHONE,104.4,47.5
3618,HENRI DE NAVARRE,PUBLIC,NERAC,LOT-ET-GARONNE,104.4,59.8
3619,MAURICE GENEVOIX,PUBLIC,LIGUEIL,INDRE-ET-LOIRE,104.4,50.2
3620,ST AUGUSTIN,PRIVE,MORLAIX,FINISTERE,104.4,55.6
3621,LE PARC,PUBLIC,DIJON,COTE D'OR,104.4,51.8
3622,ALFRED DE MUSSET,PUBLIC,PATAY,LOIRET,104.4,42.6
3623,LOUIS LUMIERE,PUBLIC,ECHIROLLES,ISERE,104.4,42.4
3624,SAINT JOSEPH,PRIVE,RUOMS,ARDECHE,104.4,46.6
3625,PARC DES CHAUMES,PUBLIC,AVALLON,YONNE,104.4,51.5
3626,JACQUES PREVERT,PUBLIC,REBAIS,SEINE-ET-MARNE,104.4,41.5
3627,ST CHARLES CAMAS,PRIVE,MARSEILLE  5E  ARRONDISSEMENT,BOUCHES-DU-RHONE,104.4,57.5
3628,LUCIE AUBRAC,PUBLIC,VILLEMANDEUR,LOIRET,104.4,51.9
3629,ARTHUR RIMBAUD,PUBLIC,VILLENEUVE-D'ASCQ,NORD,104.4,55.5
3630,DE LIZINIAT,PUBLIC,SAINT-GERMAIN-LEMBRON,PUY-DE-DOME,104.5,52.6
3631,DES SEIZE FONTAINES,PUBLIC,SAINT-ZACHARIE,VAR,104.5,51.3
3632,EMILE ZOLA,PUBLIC,CHERBOURG-EN-COTENTIN,MANCHE,104.5,55.8
3633,JEANNE D'ARC,PRIVE,FOUGERES,ILLE-ET-VILAINE,104.5,55.9
3634,INSTITUTION SAINTE MARIE,PRIVE,RIBEAUVILLE,HAUT-RHIN,104.5,31.2
3635,ROBERT BELTZ,PUBLIC,SOULTZ-HAUT-RHIN,HAUT-RHIN,104.5,55.3
3636,ANDRE MALRAUX,PUBLIC,LOUVRES,VAL-D'OISE,104.5,39.1
3637,CLOVIS HUGUES,PUBLIC,CAVAILLON,VAUCLUSE,104.5,46.4
3638,CAP DE GASCOGNE,PUBLIC,SAINT-SEVER,LANDES,104.5,59.1
3639,REINE SANCIE,PUBLIC,SAUVETERRE-DE-BEARN,PYRENEES-ATLANTIQUES,104.5,53.9
3640,FONT-BELLE,PUBLIC,SEGONZAC,CHARENTE,104.5,53.0
3641,MOREAU,PRIVE,MONTLHERY,ESSONNE,104.5,19.4
3642,EMILE CHARTIER,PUBLIC,DARNETAL,SEINE MARITIME,104.5,58.2
3643,SAINT JOSEPH,PRIVE,PARTHENAY,DEUX-SEVRES,104.5,61.3
3644,CLEMENCEAU,PUBLIC,MONTPELLIER,HERAULT,104.5,60.2
3645,LOUIS PASTEUR,PUBLIC,LA CHAPELLE-SAINT-MESMIN,LOIRET,104.5,50.2
3646,DE LA VALLEE DE LA BIEVRE,PUBLIC,HARTZVILLER,MOSELLE,104.5,57.6
3647,NOTRE DAME,PRIVE,NOYON,OISE,104.5,50.0
3648,PABLO PICASSO,PUBLIC,ERAGNY,VAL-D'OISE,104.5,32.5
3649,CANTERANE,PUBLIC,CASTELNAU-DE-MEDOC,GIRONDE,104.5,52.2
3650,GUILLAUME LE CONQUERANT,PUBLIC,SAINT-SAENS,SEINE MARITIME,104.5,49.7
3651,LA MADELEINE,PUBLIC,LE MANS,SARTHE,104.5,53.9
3652,PAUL EMILE VICTOR,PUBLIC,CRANVES-SALES,HAUTE SAVOIE,104.6,59.8
3653,JEAN MONNET,PUBLIC,YSSINGEAUX,HAUTE-LOIRE,104.6,52.1
3654,LES MERISIERS,PUBLIC,JOUY-LE-MOUTIER,VAL-D'OISE,104.6,36.3
3655,JACQUES MONOD,PUBLIC,LAVAL,MAYENNE,104.6,51.4
3656,LAETITIA BONAPARTE,PUBLIC,AJACCIO,CORSE-DU-SUD,104.6,59.3
3657,CHAMP-LUMIERE,PUBLIC,SELONGEY,COTE D'OR,104.6,45.3
3658,PIERRE DE RONSARD,PUBLIC,BOURGUEIL,INDRE-ET-LOIRE,104.6,56.3
3659,GENERAL DE GAULLE,PUBLIC,SIERCK-LES-BAINS,MOSELLE,104.6,54.9
3660,YVON DELBOS,PUBLIC,MONTIGNAC,DORDOGNE,104.6,50.6
3661,FRANCOIS VERDIER,PUBLIC,LEZAT-SUR-LEZE,ARIEGE,104.6,49.2
3662,EMILIE DU CHATELET,PUBLIC,VAUBECOURT,MEUSE,104.6,56.9
3663,EMILE-PAUL VAYSSIE,PUBLIC,AURIGNAC,HAUTE-GARONNE,104.6,65.0
3664,STE THERESE,PRIVE,SAINT-NAZAIRE,LOIRE-ATLANTIQUE,104.6,44.3
3665,FRANCOISE DOLTO,PUBLIC,SAINT-ANDIOL,BOUCHES-DU-RHONE,104.6,48.5
3666,ANDRE CORBET,PUBLIC,SAMOENS,HAUTE SAVOIE,104.6,64.7
3667,FRANCOIS COLLOBERT,PUBLIC,PONT-DE-BUIS-LES-QUIMERCH,FINISTERE,104.6,51.7
3668,PROFESSEUR NICAISE,PUBLIC,MAREUIL-LE-PORT,MARNE,104.6,62.0
3669,LOUIS ARMSTRONG,PUBLIC,BEYNOST,AIN,104.6,55.2
3670,LA TOURELLE,PUBLIC,QUIMPER,FINISTERE,104.6,61.7
3671,HENRI LE MOAL,PUBLIC,PLOZEVET,FINISTERE,104.6,55.9
3672,SAINT JOSEPH,PRIVE,SAINT-ANDRE-LEZ-LILLE,NORD,104.6,57.2
3673,SAINTE MARIE,PRIVE,SARREBOURG,MOSELLE,104.7,45.7
3674,JEAN RACINE,PUBLIC,ALENCON,ORNE,104.7,49.8
3675,MARIE RIVIER,PRIVE,SORGUES,VAUCLUSE,104.7,43.9
3676,NOTRE DAME,PRIVE,BILLOM,PUY-DE-DOME,104.7,35.2
3677,JEAN ROSTAND,PUBLIC,TOURNON-SAINT-MARTIN,INDRE,104.7,44.1
3678,GUILLAUME DE LORRIS,PUBLIC,LORRIS,LOIRET,104.7,46.5
3679,ST LOUIS,PRIVE,SAINT-JEAN-BREVELAY,MORBIHAN,104.7,54.1
3680,HENRI-ROL-TANGUY,PUBLIC,CHAMPIGNY-SUR-MARNE,VAL-DE-MARNE,104.7,44.8
3681,JULES FERRY,PUBLIC,CHAMBERY,SAVOIE,104.7,58.6
3682,EDOUARD GRIMAUX,PUBLIC,ROCHEFORT,CHARENTE-MARITIME,104.7,54.5
3683,ST OUEN LASALLE,PRIVE,PLOUAY,MORBIHAN,104.7,48.8
3684,CHARLES PEGUY,PUBLIC,MOULINS,ALLIER,104.8,60.4
3685,EN BAGATELLE,PUBLIC,TOURNUS,SAONE-ET-LOIRE,104.8,51.3
3686,FREDERIC DESMONS,PUBLIC,SAINT-GENIES-DE-MALGOIRES,GARD,104.8,49.2
3687,MONTAIGNE,PUBLIC,CONFLANS-SAINTE-HONORINE,YVELINES,104.8,43.2
3688,VICTOR DEMANGE,PUBLIC,BOULAY-MOSELLE,MOSELLE,104.8,59.0
3689,ANDRE MALRAUX,PUBLIC,ROMANS-SUR-ISERE,DROME,104.8,54.3
3690,DELFEUILLE,PRIVE,NOGENT-LE-ROTROU,EURE-ET-LOIR,104.8,45.8
3691,MARCEL PIERREL,PUBLIC,MARVEJOLS,LOZERE,104.8,59.7
3692,DE VERRIERE,PUBLIC,ISSOIRE,PUY-DE-DOME,104.8,53.5
3693,ROSA PARKS,PUBLIC,POUILLON,LANDES,104.8,59.5
3694,LA COTE DES DEUX AMANTS,PUBLIC,ROMILLY-SUR-ANDELLE,EURE,104.8,45.0
3695,SAINT JOSEPH,PRIVE,DESVRES,PAS-DE-CALAIS,104.8,59.5
3696,SAINT DRUON,PRIVE,CARVIN,PAS-DE-CALAIS,104.8,63.3
3697,ALBERT CAMUS,PUBLIC,GAILLAC,TARN,104.8,45.9
3698,NOTRE-DAME,PRIVE,CASTRES,TARN,104.8,43.2
3699,BERNARD DE VENTADOUR,PUBLIC,PRIVAS,ARDECHE,104.8,48.7
3700,LES SALIERES,PUBLIC,SAINT-MARTIN-DE-RE,CHARENTE-MARITIME,104.8,52.9
3701,-,PUBLIC,CHENERAILLES,CREUSE,104.8,45.5
3702,LES CHAMPS PHILIPPE,PUBLIC,LA GARENNE-COLOMBES,HAUTS-DE-SEINE,104.8,43.4
3703,JEAN MONNET,PUBLIC,CHATEAUROUX,INDRE,104.8,55.2
3704,CHARLES MUNCH,PUBLIC,GRENOBLE,ISERE,104.9,51.2
3705,DU MONT BAR,PUBLIC,ALLEGRE,HAUTE-LOIRE,104.9,57.4
