,nom,public_prive,commune,departement,ips,taux_mention_bien+
87,NESTOR DE KERMADEC,PUBLIC,POINTE-A-PITRE,GUADELOUPE,65.4,23.7
88,JULES VERNE (EPINETTE),PUBLIC,MAUBEUGE,NORD,65.5,21.5
89,MOLIERE,PUBLIC,COLMAR,HAUT-RHIN,65.6,33.0
90,MONTAIGNE,PUBLIC,SAINT-QUENTIN,AISNE,65.6,36.1
91,ELIE WIESEL DU CHAUDRON,PUBLIC,SAINT-DENIS,LA REUNION,65.6,44.1
92,GUY  MOQUET,PUBLIC,SAINT-BENOIT,LA REUNION,65.6,44.2
93,GEORGES BRAQUE,PUBLIC,ROUEN,SEINE MARITIME,65.8,27.5
94,ROMAIN ROLLAND,PUBLIC,SOYAUX,CHARENTE,65.8,30.9
95,BELLEFONTAINE,PUBLIC,TOULOUSE,HAUTE-GARONNE,65.9,23.8
96,DIDEROT,PUBLIC,BESANCON,DOUBS,65.9,33.7
97,JEAN MOULIN,PUBLIC,WATTIGNIES,NORD,65.9,27.7
98,BORY DE ST VINCENT,PUBLIC,SAINT-PHILIPPE,LA REUNION,65.9,46.2
99,ROSA PARKS,PUBLIC,NANTES,LOIRE-ATLANTIQUE,65.9,21.3
100,ELSA TRIOLET,PUBLIC,VENISSIEUX,RHONE,66.0,38.7
101,JACQUES PREVERT,PUBLIC,MARSEILLE 13E  ARRONDISSEMENT,BOUCHES-DU-RHONE,66.0,22.7
102,PIERRE DE RONSARD,PUBLIC,LIMOGES,HAUTE-VIENNE,66.1,20.4
103,ROBESPIERRE,PUBLIC,SAINT-ETIENNE-DU-ROUVRAY,SEINE MARITIME,66.3,36.0
104,ALI HALIDI,PUBLIC,CHICONI,MAYOTTE,66.3,29.9
105,STENDHAL,PUBLIC,TOULOUSE,HAUTE-GARONNE,66.3,38.8
106,JEAN LAMOUR,PUBLIC,NANCY,MEURTHE-ET-MOSELLE,66.3,26.3
107,JEAN CLAUDE IZZO,PUBLIC,MARSEILLE  2E  ARRONDISSEMENT,BOUCHES-DU-RHONE,66.3,31.8
108,LA MARQUISANNE,PUBLIC,TOULON,VAR,66.3,31.4
109,AMIRAL PIERRE BOUVET,PUBLIC,SAINT-BENOIT,LA REUNION,66.4,39.7
110,LES JACOBINS,PUBLIC,TROYES,AUBE,66.4,40.4
111,MARC SEGUIN,PUBLIC,SAINT-ETIENNE,LOIRE,66.5,27.0
112,FERDINAND MADELEINE,PUBLIC,IRACOUBO,GUYANE,66.6,27.7
113,GABRIEL HAVEZ,PUBLIC,CREIL,OISE,66.7,30.4
114,VERSAILLES,PUBLIC,MARSEILLE  3E  ARRONDISSEMENT,BOUCHES-DU-RHONE,66.7,27.7
115,HUBERT DELISLE BEAULIEU,PUBLIC,SAINT-BENOIT,LA REUNION,66.8,40.1
